nom,discipline,federation,is_objectif,saison
abbeville,cx,ffc,false,25-26
albi,cx,ffc,false,25-26
albi2,cx,ffc,false,25-26
arenberg,cx,ffc,false,25-26
arques,cx,ffc,false,25-26
auchy,cx,ufolep,false,25-26
auchy,vtt,ufolep,false,25-26
avesnes,cx,ufolep,false,25-26
avesnes,vtt,ufolep,false,25-26
barlin,cx,ffc,false,25-26
beautor,cx,ffc,false,25-26
bettrechies,cx,ufolep,false,25-26
bettrechies,vtt,ufolep,false,25-26
beuvry,cx,ufolep,false,25-26
beuvry,vtt,ufolep,false,25-26
bouvignies,cx,ufolep,false,25-26
bouvignies,vtt,ufolep,false,25-26
bruay,cx,ffc,false,25-26
btwin,cx,ufolep,true,25-26
btwin,vtt,ufolep,false,25-26
calais,cx,ffc,false,25-26
denain,cx,ufolep,false,25-26
denain,vtt,ufolep,false,25-26
douai,cx,ufolep,false,25-26
eclaibes,cx,ufolep,false,25-26
eclaibes,vtt,ufolep,false,25-26
estevelles,cx,ufolep,false,25-26
estevelles,vtt,ufolep,false,25-26
estevelles2,cx,ufolep,false,25-26
estevelles2,vtt,ufolep,false,25-26
flers,cx,ufolep,false,25-26
flers,vtt,ufolep,false,25-26
fourmies,cx,ufolep,false,25-26
fourmies,vtt,ufolep,false,25-26
halluin,cx,ufolep,true,25-26
halluin,vtt,ufolep,false,25-26
haspres,cx,ufolep,false,25-26
haspres,vtt,ufolep,false,25-26
haspres2,cx,ufolep,false,25-26
haspres2,vtt,ufolep,false,25-26
haspres3,cx,ufolep,false,25-26
haspres3,vtt,ufolep,false,25-26
henin1,cx,ufolep,false,25-26
henin1,vtt,ufolep,false,25-26
henin2,cx,ufolep,false,25-26
henin2,vtt,ufolep,false,25-26
henin3,vtt,ufolep,false,25-26
hergnies,cx,ufolep,false,25-26
hergnies,vtt,ufolep,false,25-26
le-quesnoy,cx,ufolep,false,25-26
le-quesnoy,vtt,ufolep,false,25-26
lievin,cx,ffc,false,25-26
lillers,cx,ufolep,false,25-26
lillers,vtt,ufolep,false,25-26
lillers2,cx,ufolep,false,25-26
lillers2,vtt,ufolep,false,25-26
loos,cx,ufolep,false,25-26
loos,vtt,ufolep,false,25-26
maulde,cx,ufolep,false,25-26
maulde,vtt,ufolep,false,25-26
meurchin,cx,ufolep,false,25-26
meurchin,vtt,ufolep,false,25-26
noeux,cx,ufolep,false,25-26
noeux,vtt,ufolep,false,25-26
obrechies,cx,ufolep,false,25-26
obrechies,vtt,ufolep,false,25-26
orchies,cx,ufolep,false,25-26
orchies,vtt,ufolep,false,25-26
ouistreham,cx,ffc,false,25-26
pont-sur-sambre,cx,ufolep,false,25-26
pont-sur-sambre,vtt,ufolep,false,25-26
quelneuc,cx,ffc,false,25-26
quelneuc2,cx,ffc,false,25-26
raismes,cx,ufolep,false,25-26
raismes,vtt,ufolep,false,25-26
rouvroy,cx,ufolep,false,25-26
rouvroy,vtt,ufolep,false,25-26
saint-waast,cx,ufolep,false,25-26
saint-waast,vtt,ufolep,false,25-26
verlinghem,cx,ffc,false,25-26
verlinghem,vtt,ufolep,false,25-26
vieux-conde,cx,ufolep,false,25-26
vieux-conde,vtt,ufolep,false,25-26
vimy,cx,ffc,false,25-26
wingles,cx,ufolep,false,25-26
wingles,vtt,ufolep,false,25-26
